SL,Category,Job Title,Skills,Experience,Salary,Job Link
1,Teaching,Lead Teaching,"Express.js, Computer Vision, Angular, Swift",1 year(s),"Tk. 15,000 - 35,000 (Monthly)",https://www.linkedin.com/jobs/view/4334634868
2,AI Researcher,AI Researcher - Bangladesh Based,"Linux, Terraform, Python, NLP, Spring",3 year(s),"Tk. 30,000 - 50,000 (Monthly)",https://www.linkedin.com/jobs/view/4321940745/
3,QA Engineer,QA Engineer - Dhaka Based,"AWS, Vue.js, Git",3 year(s),"Tk. 50,000 - 60,000 (Monthly)",https://www.linkedin.com/jobs/view/4305196524
4,Full Stack Developer,Full Stack Developer - Java Developer,"Scikit-learn, HTML, Security, Kubernetes, Spring",1 year(s),"BDT 15,000 - 25,000 (Monthly)",https://www.linkedin.com/jobs/view/4321726532
5,Backend Developer,Senior Backend Developer,"Bash, Flask, Linux, SQL",4 year(s),"৳50,000 - ৳60,000 per month",https://www.linkedin.com/jobs/view/4318542882
6,Data Scientist,Contract Data Scientist,"Computer Vision, Selenium, TensorFlow, Azure, Kubernetes",1 year(s),"Tk. 15,000 - 15,000 (Monthly)",https://www.linkedin.com/jobs/view/4315216564
7,Research Assistant,Research Assistant - Node.js Developer,"Hadoop, Laravel, Git, Python, Swift, iOS",3 year(s),"$82,006-$136,593 USD (Annual)",https://www.linkedin.com/jobs/view/4000000007
8,Product Engineer,Contract Product Engineer,"Terraform, HTML, MongoDB",4 year(s),"BDT 20,000/month",https://www.linkedin.com/jobs/view/4187113615
9,QA Engineer,Lead QA Engineer,"Vue.js, iOS, NumPy",4 year(s),"BDT 90,000/month",https://www.linkedin.com/jobs/view/4000000009
10,DevOps Engineer,DevOps Engineer - Java Developer,"PyTorch, Hadoop, Node.js, PHP, Golang",Fresh / 0-1 year,"Tk. 30,000 - 40,000 (Monthly)",https://www.linkedin.com/jobs/view/4303656092
11,Frontend Developer,Frontend Developer (Remote),"MySQL, TypeScript, NumPy, C++",6 year(s),"BDT 90,000 - 120,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000011
12,QA Engineer,Senior QA Engineer,"JavaScript, Azure, iOS",6 year(s),"BDT 30,000 - 60,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000012
13,Product Engineer,Contract Product Engineer,"JavaScript, CSS, CI/CD",3 year(s),"$55,491-$87,289 per year",https://www.linkedin.com/jobs/view/4187113615
14,Systems Administrator,Senior Systems Administrator,"Laravel, Power BI, Ansible, Scikit-learn, PostgreSQL, TensorFlow",6 year(s),"Tk. 40,000 - 50,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000014
15,NLP Engineer,Intern NLP Engineer,"Spark, Ansible, Hadoop, Spring, JavaScript, Terraform",Fresh / 0-1 year,"৳15,000 - ৳25,000 per month",https://www.linkedin.com/jobs/view/4000000015
16,Database Administrator,Intern Database Administrator,"Laravel, C++, TypeScript, Android, SQL",2 year(s),"BDT 40,000/month",https://www.linkedin.com/jobs/view/4000000016
17,BI Developer,Contract BI Developer,"Express.js, Docker, React, PHP, Kubernetes",2 year(s),"$86,107 per year",https://www.linkedin.com/jobs/view/4000000017
18,Research Assistant,Research Assistant (Remote),"Computer Vision, Git, Java",3 year(s),"BDT 50,000/month",https://www.linkedin.com/jobs/view/4000000018
19,Software Developer,Senior Software Developer,"Redis, Tableau, Express.js",5 year(s),"Tk. 90,000 - 120,000 (Monthly)",https://www.linkedin.com/jobs/view/4318542882
20,AI Researcher,AI Researcher - Flutter Developer,"Flask, MongoDB, Kubernetes, Power BI",2 year(s),"$53,767 per year",https://www.linkedin.com/jobs/view/4332172280
21,BI Developer,Junior BI Developer,"Django, C#, Computer Vision, Redis, Power BI, GCP",2 year(s),"Tk. 15,000 - 45,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000021
22,Product Engineer,Lead Product Engineer,"TypeScript, .NET, Azure",1 year(s),"$58,292 per year",https://www.linkedin.com/jobs/view/4315907244
23,Software Engineer,Intern Software Engineer,"Flask, Angular, REST API, TensorFlow, Docker",0.6 year(s),"BDT 15,000 - 45,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000023
24,Software Engineer,Software Engineer - Java Developer,"TypeScript, Redis, GraphQL",1 year(s),"$59,681-$136,150 per year",https://www.linkedin.com/jobs/view/4000000024
25,Computer Vision Engineer,Computer Vision Engineer - Python Developer,"Swift, Computer Vision, C#, GraphQL, Jenkins, MongoDB",1 year(s),"BDT 30,000/month",https://www.linkedin.com/jobs/view/4200272606
26,Research Assistant,Research Assistant (Remote),"Spark, TypeScript, HTML, GraphQL, Redis",Fresh / 0-1 year,"$55,392-$106,079 USD (Annual)",https://www.linkedin.com/jobs/view/4318542882
27,Software Developer,Software Developer - Chittagong Based,"HTML, Jenkins, .NET, Android, Kotlin, AWS",1 year(s),"৳10,000 - ৳10,000 per month",https://www.linkedin.com/jobs/view/4000000027
28,Software Developer,Software Developer - Chittagong Based,"Linux, Scikit-learn, TypeScript, Hadoop",10 year(s),"৳90,000 - ৳120,000 per month",https://www.linkedin.com/jobs/view/4000000028
29,Product Engineer,Contract Product Engineer,"HTML, PHP, MySQL, PyTorch, React, Android",2 year(s),"BDT 15,000 - 25,000 (Monthly)",https://www.linkedin.com/jobs/view/4318434948
30,Computer Vision Engineer,Computer Vision Engineer - Node.js Developer,"CI/CD, Scikit-learn, GCP, JavaScript, C++",6 year(s),"$78,278 per year",https://www.linkedin.com/jobs/view/4000000030
31,QA Engineer,Contract QA Engineer,"NumPy, Golang, MySQL, TensorFlow",2 year(s),"৳70,000 - ৳80,000 per month",https://www.linkedin.com/jobs/view/4000000031
32,Systems Administrator,Junior Systems Administrator,"C#, JavaScript, Laravel, AWS, SQL, C++",2 year(s),"$64,846-$111,317 per year",https://www.linkedin.com/jobs/view/4000000032
33,Software Engineer,Lead Software Engineer,"Tableau, CSS, Flask",4 year(s),"BDT 10,000 - 20,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000033
34,Database Administrator,AI Database Administrator,"REST API, Computer Vision, Android, Node.js",4 year(s),"$47,084-$60,449 per year",https://www.linkedin.com/jobs/view/4000000034
35,Systems Administrator,Systems Administrator (Remote),"Ansible, Swift, REST API, Linux, Node.js",3 year(s),"Tk. 70,000 - 90,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000035
36,Software Engineer,Software Engineer - iOS Developer,"HTML, Security, Scikit-learn, Android, Java",3 year(s),"৳40,000 - ৳70,000 per month",https://www.linkedin.com/jobs/view/4000000036
37,Mobile Developer,Mobile Developer - USA Based,"NLP, Scikit-learn, Jenkins, GraphQL",5 year(s),"৳50,000 - ৳60,000 per month",https://www.linkedin.com/jobs/view/4000000037
